requestQuote Request,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
details,details,array,[..],,M,quote details,
contents,contents,array,[..],,M,contents array for quote,
wayrefs,wayrefs,array,[..],,,tracking numbers for quote,
tracks,tracks,array,[..],,,references for quote,
ttype,ttype,string,[1],,M,"transaction type, default of 'I'",
requestQuote Request[details],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
waybill         ,waybill         ,string,[24],,,quote or waybill number,
accnum          ,accnum          ,string,[6],,,customer account number,
costcentre      ,costcentre      ,integer,,,,customer costcentre,
service         ,service         ,string,[3],,,transport service,
waydate         ,waydate         ,string,[10],dd.mm.yyyy,,waybill date,
origpers        ,origpers        ,string,[35],,,sender name or consignor,
origperadd1     ,origperadd1     ,string,[30],,,senders address line 1,
origperadd2     ,origperadd2     ,string,[30],,,senders address line 2,
origperadd3     ,origperadd3     ,string,[30],,,senders address line 3,
origperadd4     ,origperadd4     ,string,[30],,,senders address line 4,
origplace       ,origplace       ,integer,,,,originating place number,
origperpcode    ,origperpcode    ,string,[8],,,senders postal code,
origpercontact  ,origpercontact  ,string,[30],,,senders contact name,
origperphone    ,origperphone    ,string,[30],,,senders phone 1,
origperphone2   ,origperphone2   ,string,[20],,,senders phone 2,
origpercell     ,origpercell     ,string,[20],,,senders mobile number,
destpers        ,destpers        ,string,[35],,,receiver name or consignee,
destperadd1     ,destperadd1     ,string,[30],,,receiver address line 1,
destperadd2     ,destperadd2     ,string,[30],,,receiver address line 2,
destperadd3     ,destperadd3     ,string,[30],,,receiver address line 3,
destperadd4     ,destperadd4     ,string,[30],,,receiver address line 4,
destplace       ,destplace       ,integer,,,,receiver place number,
desttown        ,desttown        ,string,[50],,,receiver town name,
destperpcode    ,destperpcode    ,string,[8],,,receiver postal code,
destpercontact  ,destpercontact  ,string,[30],,,receiver contact name,
destperphone    ,destperphone    ,string,[20],,,receiver phone 1,
destperphone2   ,destperphone2   ,string,[20],,,receiver phone 2,
destpercell     ,destpercell     ,string,[20],,,receivers mobile number,
duedate         ,duedate         ,string,[10],dd.mm.yyyy,,waybill due date,
specinstruction ,specinstruction ,string,[60],,,special instruction,
reference       ,reference       ,string,[15],,,waybill reference number,
insuranceflag   ,insuranceflag   ,integer,,,,insurance flag,
instype         ,instype         ,integer,,,,insurance type,
declaredvalue   ,declaredvalue   ,float,,,,value of the freight for insurance,
nondoxflag      ,nondoxflag      ,integer,,,,not documents flag,
currency        ,currency        ,float,,,,transport cost currency,
customsvalue    ,customsvalue    ,float,,,,value of freight for customs,
surchargeflag1  ,surchargeflag1  ,integer,,,,surcharge flag 1,
surchargeflag2  ,surchargeflag2  ,integer,,,,surcharge flag 2,
surchargeflag3  ,surchargeflag3  ,integer,,,,surcharge flag 3,
surchargeflag4  ,surchargeflag4  ,integer,,,,surcharge flag 4,
surchargeflag5  ,surchargeflag5  ,integer,,,,surcharge flag 5,
surchargeflag6  ,surchargeflag6  ,integer,,,,surcharge flag 6,
surchargeflag7  ,surchargeflag7  ,integer,,,,surcharge flag 7,
surchargeflag8  ,surchargeflag8  ,integer,,,,surcharge flag 8,
surchargeflag9  ,surchargeflag9  ,integer,,,,surcharge flag 9,
requestQuote Request[contents],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
pieces,pieces,integer,,,M,number of pieces,
description,description,string,[30],,M,freight description,
dim1,dim1,integer,,,,dimension 1 in centimetres,
dim2,dim2,integer,,,,dimension 2 in centimetres,
dim3,dim3,integer,,,,dimension 3 in centimetres,
actmass,actmass,float,,,M,mass in kilograms,
item,item,integer,,,M,"start from 1, per array entry",
defitem,defitem,integer,,,,default content item unique code,
requestQuote Request[wayref],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
s_reference,reference,string,[15],,M,reference number,
i_pageno,pageno,integer,,,M,set to 1. Increment for multiple instances of a reference number,
requestQuote Request[tracks],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
s_trackno,trackno,string,[28],,M,unique tracking number,
i_parcelno,parcelno,integer,,,M,"increment, start from 1",
i_item,item,integer,,,,Required if linking tracking numbers to specific pieces in contents array,
requestQuote Response,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
errorcode,errorcode,Integer,,,,An integer errorcode. If 0 then there was no error else an error occurred,
errormessage,errormessage,String,[500],,,The error message if errorcode is a non-zero value,
results,results,Array,[..],,,An array of results which will always have a single element if non-null,
requestQuote Response[results],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
