submitCollection Request,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
details,details,array,[..],,M,collection address information,
contents,contents,array,[..],,M,collection content information,
s_ttype,ttype,string,[1],,,transaction type,
printWaybill,printWaybill,integer,,,,1 = return base64 encoded waybill pdf,
printLabels,printLabels,integer,,,,1 = return base64 encoded labels pdf,
submitCollection Request[details],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
collectno,collectno,string,,,,collection number of existing collection,
waybill,waybill,string,,,,wabill number for the waybill linked to the collection,
accnum,accnum,string,[6],,,customer account number,
costcentre,costcentre,string,,,,customer costcentre,
service,service,string,[3],,M,transport service,
collectiondate,collectiondate,string,[10],dd.mm.yyyy,M,date for the collection,
origpers,origpers,string,[35],,M,sender name or consignor,
origperadd1,origperadd1,string,[30],,M,senders address line 1,
origperadd2,origperadd2,string,[30],,,senders address line 2,
origperadd3,origperadd3,string,[30],,,senders address line 3,
origperadd4,origperadd4,integer,[30],,,senders address line 4,
origplace,origplace,string,,,,originating place number,
origtown,origtown,string,,,M,originating town name,
origperpcode,origperpcode,string,[30],,M,senders postal code,
origpercontact,origpercontact,string,[30],,M,senders contact name,
origperphone,origperphone,string,[30],,M,senders phone 1,
origperphone2,origperphone2,string,[20],,,senders phone 2,
origpercell,origpercell,string,[20],,,senders mobile number,
destpers,destpers,string,[35],,M,receiver name or consignee,
destperadd1,destperadd1,string,[30],,M,receiver address line 1,
destperadd2,destperadd2,integer,[30],,,receiver address line 2,
destperadd3,destperadd3,integer,[30],,,receiver address line 3,
destperadd4,destperadd4,float,[30],,,receiver address line 4,
destplace,destplace,integer,,,,receiver place number,
desttown,desttown,string,[50],,M,receiver town name,
destperpcode,destperpcode,float,[8],,M,receiver postal code,
destpercontact,destpercontact,integer,[30],,M,receiver contact name,
destperphone,destperphone,integer,[20],,M,receiver phone 1,
destperphone2,destperphone2,integer,[20],,,receiver phone 2,
destpercell,destpercell,integer,[20],,,receivers mobile number,
duedate,duedate,integer,[10],dd.mm.yyyy,,waybill due date,
specinstruction,specinstruction,integer,[60],,,special instruction,
reference,reference,integer,[15],,,waybill reference number,
insuranceflag,insuranceflag,integer,,,,insurance flag,
instype,instype,integer,,,,insurance type,
declaredvalue,declaredvalue,string,,,,value of the freight for insurance,
nondoxflag,nondoxflag,integer,,,,not documents flag,
currency,currency,float,,,,transport cost currency,
customsvalue,customsvalue,float,,,,value of freight for customs,
surchargeflag1,surchargeflag1,integer,,,,surcharge flag 1,
surchargeflag2,surchargeflag2,integer,,,,surcharge flag 2,
surchargeflag3,surchargeflag3,integer,,,,surcharge flag 3,
surchargeflag4,surchargeflag4,integer,,,,surcharge flag 4,
surchargeflag5,surchargeflag5,integer,,,,surcharge flag 5,
surchargeflag6,surchargeflag6,integer,,,,surcharge flag 6,
surchargeflag7,surchargeflag7,integer,,,,surcharge flag 7,
surchargeflag8,surchargeflag8,integer,,,,surcharge flag 8,
surchargeflag9,surchargeflag9,integer,,,,surcharge flag 9,
starttime,starttime,string,[8],hh:mm:ss,,time the collection is ready,
endtime,endtime,string,[8],hh:mm:ss,,time the collection is closed,
notes,notes,string,[150],,,notes for the collection quest,
submitCollection Request[contents],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
pieces,pieces,integer,,,M,number of pieces,
description,description,string,[30],,M,freight description,
dim1,dim1,integer,,,,dimension 1 in centimetres,
dim2,dim2,integer,,,,dimension 2 in centimetres,
dim3,dim3,integer,,,,dimension 3 in centimetres,
actmass,actmass,float,,,M,mass in kilograms,
item,item,integer,,,M,"start from 1, per array entry",
defitem,defitem,integer,,,,default content item unique code,
submitCollection Response,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
errorcode,errorcode,integer,,,,An integer errorcode. If 0 then there was no error else an error occurred,
errormessage,errormessage,string,,,,The error message if errorcode is a non-zero value,
results,results,array,[..],,,An array of results which will always have a single element if non-null,
submitCollection Response[results],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
waybillno,waybillno,string,,,,generated waybill number,
gentracking_retval,gentracking_retval,string,,,,1 = tracking numbers generated,
collectno,collectno,integer,,,,generated collection number,
waybillBase64,waybillBase64,string,,,,base64 encoded string for waybill pdf,
labelsBase64,labelsBase64,string,,,,base64 encoded string for labels pdf,
